matmul (Serial),2.823150,2.820450,=AVERAGE(A1:A2)
matmul (Autovec (AVX-2)),1.236050,1.234300,=AVERAGE(A1:A2)
matmul (Autovec (AVX-512)),1.234300,1.233250,=AVERAGE(A1:A2)
matmul (OpenMP (AVX-2)),1.230350,1.232600,=AVERAGE(A1:A2)
matmul (OpenMP (AVX-512)),1.230600,1.230500,=AVERAGE(A1:A2)
matmul (OpenMP w/Unroll (AVX-2)),1.232500,1.230250,=AVERAGE(A1:A2)
matmul (OpenMP w/Unroll (AVX-512)),1.233150,1.230600,=AVERAGE(A1:A2)
matmul (Rex (AVX-2)),0.172650,0.172000,=AVERAGE(A1:A2)
matmul (Rex (AVX-512)),0.172650,0.171950,=AVERAGE(A1:A2)
matmul (Rex w/Unroll (AVX-2)),0.121900,0.116750,=AVERAGE(A1:A2)
matmul (Rex w/Unroll (AVX-512)),0.121550,0.116450,=AVERAGE(A1:A2)
