spmv (Serial),9.0730,=AVERAGE(A1:A1)
spmv (Autovec (AVX-2)),1.8760,=AVERAGE(A1:A1)
spmv (Autovec (AVX-512)),1.9350,=AVERAGE(A1:A1)
spmv (OpenMP (AVX-2)),2.1480,=AVERAGE(A1:A1)
spmv (OpenMP (AVX-512)),1.9210,=AVERAGE(A1:A1)
spmv (Rex (AVX-2)),3.6320,=AVERAGE(A1:A1)
spmv (Rex (AVX-512)),3.4450,=AVERAGE(A1:A1)
spmv (Rex w/Unroll (AVX-2)),4.5800,=AVERAGE(A1:A1)
spmv (Rex w/Unroll (AVX-512)),4.5110,=AVERAGE(A1:A1)
spmv (Rex w/Tile (AVX-2)),10.6700,=AVERAGE(A1:A1)
spmv (Rex w/Tile (AVX-512)),10.6690,=AVERAGE(A1:A1)
